Latitude,Longitude,Height (m),Data Rate (kbpms)
48.181784,11.613942,30.3,0
48.181784,11.613942,30.5,35.68
48.181784,11.613942,30.7,0.672
48.181784,11.613942,30.9,0
48.181784,11.613942,31.1,34.36
48.181784,11.613942,31.3,0
48.181784,11.613942,31.4,12.112
48.181784,11.613942,31.6,0
48.181784,11.613942,31.8,0
48.181784,11.613942,32,21.032
48.181784,11.613942,32.2,0
48.181784,11.613942,32.4,24.224
48.181784,11.613941,32.6,0
48.181784,11.613941,32.8,0
48.181784,11.613941,33,37.008
48.181784,11.613941,33.2,0
48.181784,11.613941,33.4,0
48.181784,11.613941,33.6,0
48.181784,11.613941,33.8,0
48.181784,11.613941,34,0.624
48.181784,11.613941,34.2,0
48.181784,11.613941,34.4,12.112
48.181784,11.613941,34.6,23.528
48.181784,11.613941,34.8,0.672
48.181784,11.613941,35,36.992
48.181784,11.613941,35.2,1.752
48.181784,11.613941,35.4,12.112
48.181784,11.613941,35.6,0
48.181784,11.613941,35.8,0
48.181784,11.613941,36,53.312
48.181784,11.613941,36.2,0
48.181784,11.613941,36.4,0
48.181784,11.613941,36.6,34.376
48.181784,11.613941,36.8,30.4
48.181783,11.613941,37,84.784
48.181783,11.613941,37.2,1.664
48.181784,11.61394,37.4,0
48.181783,11.61394,37.6,51.568
48.181783,11.61394,37.8,0
48.181783,11.61394,38,36.336
